
=== gpu_va=0x0  A=map_seq000057_conn0_type00005e15_at102528000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu10528c000_sz10000.hex ===
  +0x01c4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01c8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01cc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01d0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01d4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01d8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01dc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01e0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01e4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01e8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01ec: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01f0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01f4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01f8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x01fc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0244: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0248: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x024c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0250: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0254: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0258: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x025c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0260: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0264: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0268: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x026c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0270: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0274: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0278: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x027c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0284: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0288: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x028c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0290: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0294: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0298: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x029c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02a0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02a4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02a8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02ac: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02b0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02b4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02b8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02bc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)
  +0x0304: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0308: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x030c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0310: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0314: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0318: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x031c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0320: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0324: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0328: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x032c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0330: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0334: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0338: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x033c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0344: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0348: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x034c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0350: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0354: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0358: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x035c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0360: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0364: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0368: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x036c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0370: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0374: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0378: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x037c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03c4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03c8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03cc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03d0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03d4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03d8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03dc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03e0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03e4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03e8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03ec: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03f0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03f4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03f8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x03fc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0404: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0408: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x040c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0410: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0414: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0418: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x041c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0420: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0424: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0428: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x042c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0430: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0434: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0438: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x043c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0484: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0488: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x048c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0490: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0494: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0498: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x049c: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04a0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04a4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04a8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04ac: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04b0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04b4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04b8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04bc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04c4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04c8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04cc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04d0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04d4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04d8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04dc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04e0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04e4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04e8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04ec: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04f0: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04f4: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04f8: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x04fc: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0544: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x0548: 0x000000ff -> 0x00000000   (A 255  B 0)
  +0x054c: 0x000000ff -> 0x00000000   (A 255  B 0)

... [truncated 600 lines of allocation-shift noise; clean per-field diffs are in hex/KEY_DIFFS.txt and the focus_*.txt files] ...
