
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104e04000_sz4000.hex  B=map_seq000055_conn0_type00005e15_at1009a8000_sz4000.hex ===
  +0x048c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0490: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0494: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0498: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x049c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0540: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0544: 0x00000000 -> 0x00007c10   (A 0  B 31760)
  +0x0548: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x054c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0550: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0554: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0558: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x055c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0560: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0564: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0568: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x056c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0570: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0574: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0578: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x057c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0580: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0584: 0x00000000 -> 0x00007c10   (A 0  B 31760)
  +0x0588: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x058c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0590: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0594: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0598: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x059c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0604: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0608: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x060c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0610: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0614: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0618: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x061c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0620: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0624: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0628: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x062c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0630: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0634: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0638: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x063c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0644: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0648: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x064c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0650: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0654: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0658: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x065c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0660: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0664: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0668: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x066c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0670: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0674: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0678: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x067c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0704: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0708: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x070c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0710: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0714: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0718: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x071c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0720: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0724: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0728: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x072c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0730: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0734: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0738: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x073c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0784: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0788: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x078c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0790: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0794: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0798: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x079c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu1009bc000_sz10000.hex ===
  +0x0400: 0x06031254 -> 0x06030a54   (A 100864596  B 100862548)
  +0x0410: 0x0a54052f -> 0x1254052f   (A 173278511  B 307496239)
  +0x0424: 0x8f0f1349 -> 0x8f0f0b59   (A 2400129865  B 2400127833)
  +0x0430: 0x8f2f0b59 -> 0x8f2f1349   (A 2402224985  B 2402227017)
  +0x0448: 0x0f3f1199 -> 0x0f3f1189   (A 255791513  B 255791497)
  +0x0454: 0x8b24b179 -> 0x8924b179   (A 2334437753  B 2300883321)
  +0x045c: 0x13898b29 -> 0x11898929   (A 327781161  B 294226217)
  +0x0460: 0x05298b29 -> 0x05298929   (A 86608681  B 86608169)
  +0x0478: 0x8b290949 -> 0x89290b59   (A 2334722377  B 2301168473)
  +0x047c: 0x83248b39 -> 0x8f2d0339   (A 2200210233  B 2402091833)
  +0x0480: 0x01090800 -> 0x01190800   (A 17369088  B 18417664)
  +0x0484: 0x08800f3e -> 0x0a800f3e   (A 142610238  B 176164670)
  +0x0488: 0x0b3a0719 -> 0x093e0909   (A 188352281  B 155060489)
  +0x048c: 0x05540497 -> 0x04970680   (A 89392279  B 77006464)
  +0x0490: 0xd0080002 -> 0x04020554   (A 3490185218  B 67241300)
  +0x0494: 0x0287c245 -> 0xc245d000   (A 42451525  B 3259355136)
  +0x0498: 0x00080454 -> 0x04540287   (A 525396  B 72614535)
  +0x049c: 0x045406e7 -> 0x06e70008   (A 72615655  B 115802120)
  +0x04a0: 0x4e010000 -> 0x00000454   (A 1308688384  B 1108)
  +0x04a4: 0x00000000 -> 0x00004e01   (A 0  B 19969)
  +0x04a8: 0x0c540207 -> 0x02070000   (A 206832135  B 34013184)
  +0x04ac: 0x000e0002 -> 0x00020c54   (A 917506  B 134228)
  +0x04b0: 0x00000000 -> 0x0000000e   (A 0  B 14)

[326 differing words across 38 paired BO(s)]
