
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104e04000_sz4000.hex  B=map_seq000055_conn0_type00005e15_at1051c4000_sz4000.hex ===
  +0x048c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0490: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0494: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0498: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x049c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0540: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0544: 0x00000000 -> 0x00007a10   (A 0  B 31248)
  +0x0548: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x054c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0550: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0554: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0558: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x055c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0560: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0564: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0568: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x056c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0570: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0574: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0578: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x057c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0580: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0584: 0x00000000 -> 0x00007a10   (A 0  B 31248)
  +0x0588: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x058c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0590: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0594: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0598: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x059c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0604: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0608: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x060c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0610: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0614: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0618: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x061c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0620: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0624: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0628: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x062c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0630: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0634: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0638: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x063c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0644: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0648: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x064c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0650: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0654: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0658: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x065c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0660: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0664: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0668: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x066c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0670: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0674: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0678: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x067c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0704: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0708: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x070c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0710: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0714: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0718: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x071c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0720: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0724: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0728: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x072c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0730: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0734: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0738: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x073c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0784: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0788: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x078c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0790: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0794: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0798: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x079c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu1051d8000_sz10000.hex ===
  +0x03e4: 0x04020e54 -> 0x04020854   (A 67243604  B 67242068)
  +0x03ec: 0x0c54052f -> 0x1054052f   (A 206832943  B 273941807)
  +0x0400: 0x06031254 -> 0x04030c54   (A 100864596  B 67308628)
  +0x0414: 0x02000803 -> 0x02000603   (A 33556483  B 33555971)
  +0x0418: 0x052f0010 -> 0x11790010   (A 86966288  B 293142544)
  +0x041c: 0x04031054 -> 0x0100892f   (A 67309652  B 16812335)
  +0x0420: 0x00100200 -> 0x02000002   (A 1049088  B 33554434)
  +0x0424: 0x8f0f1349 -> 0x0d890000   (A 2400129865  B 227082240)
  +0x0428: 0x00020300 -> 0x0200892f   (A 131840  B 33589551)
  +0x042c: 0x00000200 -> 0x02000002   (A 512  B 33554434)
  +0x0430: 0x8f2f0b59 -> 0x052f0000   (A 2402224985  B 86966272)
  +0x0434: 0x00020400 -> 0x08030c54   (A 132096  B 134417492)
  +0x0438: 0x00000200 -> 0x00100200   (A 512  B 1049088)
  +0x043c: 0x8f2f0d69 -> 0x053e0f72   (A 2402225513  B 87953266)
  +0x0440: 0x00020100 -> 0x11220000   (A 131328  B 287440896)
  +0x0444: 0x00000200 -> 0x0000073e   (A 512  B 1854)
  +0x0448: 0x0f3f1199 -> 0x04540497   (A 255791513  B 72615063)
  +0x044c: 0x00020200 -> 0xd0101c02   (A 131584  B 3490716674)
  +0x0450: 0x00000200 -> 0x0d39c245   (A 512  B 221889093)
  +0x0454: 0x8b24b179 -> 0x0400892f   (A 2334437753  B 67143983)
  +0x0458: 0x0d690880 -> 0x02000002   (A 224987264  B 33554434)
  +0x045c: 0x13898b29 -> 0x0b490000   (A 327781161  B 189333504)
  +0x0460: 0x05298b29 -> 0x0300093f   (A 86608681  B 50334015)
  +0x0464: 0x0c808f2e -> 0x02000002   (A 209751854  B 33554434)
  +0x0468: 0x8f2e0739 -> 0x87590000   (A 2402158393  B 2270756864)
  +0x046c: 0x04971080 -> 0x08008324   (A 77009024  B 134251300)
  +0x0470: 0x08020454 -> 0x013e0942   (A 134349908  B 20842818)
  +0x0474: 0xc245d018 -> 0x0b090000   (A 3259355160  B 185139200)
  +0x0478: 0x8b290949 -> 0x0280073e   (A 2334722377  B 41944894)
  +0x047c: 0x83248b39 -> 0x05540497   (A 2200210233  B 89392279)
  +0x0480: 0x01090800 -> 0xd0001002   (A 17369088  B 3489665026)
  +0x0484: 0x08800f3e -> 0x0287c245   (A 142610238  B 42451525)
  +0x0488: 0x0b3a0719 -> 0x00080454   (A 188352281  B 525396)
  +0x048c: 0x05540497 -> 0x045406e7   (A 89392279  B 72615655)
  +0x0490: 0xd0080002 -> 0x4e010000   (A 3490185218  B 1308688384)
  +0x0494: 0x0287c245 -> 0x00000000   (A 42451525  B 0)
  +0x0498: 0x00080454 -> 0x0c540207   (A 525396  B 206832135)
  +0x049c: 0x045406e7 -> 0x000e0002   (A 72615655  B 917506)
  +0x04a0: 0x4e010000 -> 0x00000000   (A 1308688384  B 0)
  +0x04a8: 0x0c540207 -> 0x00000000   (A 206832135  B 0)
  +0x04ac: 0x000e0002 -> 0x00000000   (A 917506  B 0)

[344 differing words across 38 paired BO(s)]
