
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at104e04000_sz4000.hex  B=map_seq000055_conn0_type00005e15_at1041b8000_sz4000.hex ===
  +0x048c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0490: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0494: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0498: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x049c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x04fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0540: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0544: 0x00000000 -> 0x00006210   (A 0  B 25104)
  +0x0548: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x054c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0550: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0554: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0558: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x055c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0560: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0564: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0568: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x056c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0570: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0574: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0578: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x057c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0580: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0584: 0x00000000 -> 0x00006210   (A 0  B 25104)
  +0x0588: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x058c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0590: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0594: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0598: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x059c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x05bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0604: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0608: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x060c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0610: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0614: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0618: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x061c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0620: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0624: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0628: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x062c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0630: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0634: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0638: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x063c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0644: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0648: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x064c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0650: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0654: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0658: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x065c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0660: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0664: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0668: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x066c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0670: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0674: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0678: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x067c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x06fc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0704: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0708: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x070c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0710: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0714: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0718: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x071c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0720: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0724: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0728: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x072c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0730: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0734: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0738: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x073c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0784: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0788: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x078c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0790: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0794: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x0798: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x079c: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07a8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ac: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07b8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07bc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07c8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07cc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07d8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07dc: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07e8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07ec: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f0: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f4: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07f8: 0x00000000 -> 0x000000ff   (A 0  B 255)
  +0x07fc: 0x00000000 -> 0x000000ff   (A 0  B 255)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu104e0c000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu1041cc000_sz10000.hex ===
  +0x0424: 0x8f0f1349 -> 0x8f2f1349   (A 2400129865  B 2402227017)
  +0x0448: 0x0f3f1199 -> 0x0f3f1189   (A 255791513  B 255791497)
  +0x0454: 0x8b24b179 -> 0x0b24b179   (A 2334437753  B 186954105)
  +0x045c: 0x13898b29 -> 0x11890d39   (A 327781161  B 294194489)
  +0x0460: 0x05298b29 -> 0x05291139   (A 86608681  B 86577465)
  +0x0478: 0x8b290949 -> 0x09390949   (A 2334722377  B 154732873)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu105098000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu104220000_sz4000.hex ===
  +0x0000: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0004: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0008: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x000c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0010: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0014: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0018: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x001c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0020: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0024: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0028: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x002c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0030: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0034: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0038: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x003c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0040: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0044: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0048: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x004c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0050: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0054: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0058: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x005c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0060: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0064: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0068: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x006c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0070: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0074: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0078: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x007c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0080: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0084: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0088: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x008c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0090: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0094: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0098: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x009c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00a0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00a4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00a8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00ac: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00b0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00b4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00b8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00bc: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00c0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00c4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00c8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00cc: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00d0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00d4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00d8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00dc: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00e0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00e4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00e8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00ec: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00f0: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00f4: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00f8: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x00fc: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0100: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0104: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0108: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x010c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0110: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0114: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x0118: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
  +0x011c: 0xff4080bf -> 0xff10408f   (A 4282417343  B 4279255183)
